title,p-title,link,aid,cid
,拉票会名额抽选+MC1：最让你伤心的一条朋友圈,https://www.bilibili.com/video/av10914272/index_3.html,10914272,18075222
【SNH48】TeamX《梦想的旗帜》第三十一场 全场 CUT（20170518）,MC3：第一组堆里最不符合自己年龄的人；第二组握手会上印象深刻的事和粉丝,https://www.bilibili.com/video/av10650440/index_1.html,10650440,17583641
,MC2：你打游戏的时候谁打你电话你会接,https://www.bilibili.com/video/av10650440/index_2.html,10650440,17583642
,MC1:你遇到成员之间最豪爽事,https://www.bilibili.com/video/av10650440/index_3.html,10650440,17581197
【SNH48】姚祎纯生日公演 TeamX《梦想的旗帜》第三十场 全场+生日冷餐会 CUT（20170514）,MC1：给纯纯的生日祝福,https://www.bilibili.com/video/av10566212/index_2.html,10566212,17443361
,MC3：第一组（猜猜我是谁？公司对母上大人采访）第二组（一人一句带有“爱”字的歌）,https://www.bilibili.com/video/av10566212/index_3.html,10566212,17443357
【SNH48】TeamX《梦想的旗帜》第二十九场 全场 CUT（20170511）,MC3：第一组模仿成员刚出道的样子第二组有没有被队友冷落，如果有请她给你公主抱,https://www.bilibili.com/video/av10484197/index_1.html,10484197,17315221
,MC1：握手会你遇到的套路,https://www.bilibili.com/video/av10484197/index_2.html,10484197,17313091
,MC2：队友有没有做什么傻事让你笑一年,https://www.bilibili.com/video/av10484197/index_3.html,10484197,17315222
【SNH48】北京巡演第二场 TeamX《梦想的旗帜》第二十八场 全场 CUT（20170506）,MC3：第一组（你有接受过后辈什么样的套路？）第二组（花式安利嘉兴路）,https://www.bilibili.com/video/av10355093/index_1.html,10355093,17176696
,MC2：说一说悠唐的美食？,https://www.bilibili.com/video/av10355093/index_2.html,10355093,17106726
,MC1：说一说在悠唐握手会和公演的感想？,https://www.bilibili.com/video/av10355093/index_3.html,10355093,17124815
【SNH48】北京巡演第一场 TeamX《梦想的旗帜》第二十七场 全场 CUT（20170505）,MC4：嘉兴路和悠唐互换偶像你觉得怎么样！,https://www.bilibili.com/video/av10338417/index_1.html,10338417,17082767
,MC3：对悠唐剧场的印象,https://www.bilibili.com/video/av10338417/index_2.html,10338417,17082363
